ntrees,lr,folds,block,image
10,0.1,F5,0.3320700330949077,0.02084937836945755
10,0.1,F6,0.23179181850844321,0.3800142570150995
10,0.1,F7,0.2792526521349026,0.08559635020638712
10,0.1,F8,0.25786005332260176,0.167190332326284
10,0.1,A,0.31242363649617033,0.105514366596969
10,0.1,T,0.2710231860652901,0.15144678210841
10,0.25,F1,0.44558533472560624,0.1284003312734917
10,0.25,F2,0.322960741256494,0.007846367262007936
10,0.25,F3,0.3247026251025431,0.023947121288737994
10,0.25,F4,0.2780745453454174,0.014504478474429372
10,0.25,F5,0.32107398313227287,0.016173396413246777
10,0.25,F6,0.21167171380177596,0.3953729505540795
10,0.25,F7,0.27740539399377206,0.08225070606126439
10,0.25,F8,0.2574576185924845,0.17232628398791539
10,0.25,A,0.30486649449379577,0.10510270441439663
10,0.25,T,0.26655323566732037,0.14205538947487173
10,0.5,F1,0.44744169857292027,0.13878448111104036
10,0.5,F2,0.3154624819238391,0.011487775273105627
10,0.5,F3,0.3129101722723544,0.0208769775337716
10,0.5,F4,0.31096572834763825,0.009881537127997664
10,0.5,F5,0.3202732998825665,0.01182748377159204
10,0.5,F6,0.21860083149412313,0.39504892748363685
10,0.5,F7,0.2789887581147411,0.09359113621551163
10,0.5,F8,0.26092861813974544,0.19999999999999996
10,0.5,A,0.30819644859349105,0.11018728981458197
10,0.5,T,0.26240050755565814,0.1665632579389701
10,0.75,F1,0.46043624550411877,0.13900745365356437
10,0.75,F2,0.32869155374645176,0.020157794347147595
10,0.75,F3,0.33121410992616895,0.03250740446435019
10,0.75,F4,0.31252625892803554,0.2224212655301936
10,0.75,F5,0.31130564748585454,0.025360325668390415
10,0.75,F6,0.21531591643997328,0.39420646750048605
10,0.75,F7,0.2889639520768459,0.11101455572452745
10,0.75,F8,0.2934252225967101,0.28012084592145015
10,0.75,A,0.31773486333801987,0.1530995141012637
10,0.75,T,0.27797323797439155,0.17564442438941852
25,0.005,F1,0.5377073906485671,0.6367777282283239
25,0.005,F2,0.3746987306518129,0.6384168545170799
25,0.005,F3,0.5266099261689909,0.16427075055984974
25,0.005,F4,0.3629434007562571,0.32689973995954924
25,0.005,F5,0.4537738870502829,0.10001100231048521
25,0.005,F6,0.42945131653236157,0.16881601970060267
25,0.005,F7,0.42903889797857175,0.37393004562242016
25,0.005,F8,0.30957291614266313,0.6062235649546828
25,0.005,A,0.4279745582411884,0.3769182132316242
25,0.005,T,0.42000230707117314,0.36677195555304865
25,0.01,F1,0.5377073906485671,0.6367777282283239
25,0.01,F2,0.3746987306518129,0.6384168545170799
25,0.01,F3,0.5266099261689909,0.028895470634977993
25,0.01,F4,0.3629434007562571,0.32689973995954924
25,0.01,F5,0.4537738870502829,0.0206293321597536
25,0.01,F6,0.42945131653236157,0.3800142570150995
25,0.01,F7,0.42903889797857175,0.37393004562242016
25,0.01,F8,0.30957291614266313,0.6062235649546828
25,0.01,A,0.4279745582411884,0.37647337413648585
25,0.01,T,0.42000230707117314,0.36677195555304865
25,0.025,F1,0.5377073906485671,0.13483468178632863
25,0.025,F2,0.31814043168550155,0.024492803884168524
25,0.025,F3,0.34362182116488926,0.030376363505020598
25,0.025,F4,0.2889382390012605,0.012770875469517495
25,0.025,F5,0.33628696487669474,0.022499724942237842
25,0.025,F6,0.42945131653236157,0.3800142570150995
25,0.025,F7,0.28062490103974247,0.086682598305453
25,0.025,F8,0.25816187937018964,0.181631419939577
25,0.025,A,0.34911661803990085,0.10916284060592532
25,0.025,T,0.2811742992271311,0.15113655592532005
25,0.05,F1,0.46177050701937583,0.13400649805695353
25,0.05,F2,0.3193187295806331,0.014478931853650123
25,0.05,F3,0.3362387202625102,0.026367116954417402
25,0.05,F4,0.27975511673969145,0.013175382837330218
25,0.05,F5,0.327746343546493,0.017878754538453112
25,0.05,F6,0.23071395575630038,0.3800142570150995
25,0.05,F7,0.2781970760542566,0.08394525309580714
25,0.05,F8,0.25801096634639564,0.1838066465256798
25,0.05,A,0.31146892691320704,0.10670910510967385
25,0.05,T,0.2696389433614027,0.147921484573298
25,0.075,F1,0.4511544262675484,0.1335286997515449
25,0.075,F2,0.320818381447164,0.009840471649037674
25,0.075,F3,0.33167555373256763,0.02553637217366178
25,0.075,F4,0.27783446371766396,0.014504478474429372
25,0.075,F5,0.32507739938080493,0.017108592804488953
25,0.075,F6,0.22804496227480364,0.38079191238416177
25,0.075,F7,0.2771414999736106,0.08581359982620029
25,0.075,F8,0.25765883595754313,0.17891238670694865
25,0.075,A,0.3086756903439633,0.10575456422130917
25,0.075,T,0.26790863998154346,0.14778047267189354
25,0.1,F1,0.4456433460958348,0.1284321844938523
25,0.1,F2,0.32162176637566275,0.009710421362926991
25,0.1,F3,0.3303424938474159,0.0254280141587806
25,0.1,F4,0.27975511673969145,0.01958971395550424
25,0.1,F5,0.32224831856517566,0.017108592804488953
25,0.1,F6,0.22609454396140227,0.38098632622642736
25,0.1,F7,0.2750831266163509,0.08516185096676077
25,0.1,F8,0.2573067055686906,0.17716012084592148
25,0.1,A,0.30726192722127804,0.10544715310183284
25,0.1,T,0.2662071749913485,0.1421681989959953
25,0.25,F1,0.4408864137370925,0.12776326686628015
25,0.25,F2,0.32071126345669754,0.009363620599965317
25,0.25,F3,0.3189089417555373,0.02694502636711693
25,0.25,F4,0.28137566772702716,0.014099971106616538
25,0.25,F5,0.32443685278103984,0.019199031796677257
25,0.25,F6,0.2179335831237489,0.3522130775711231
25,0.25,F7,0.2775109516018367,0.09241798826852055
25,0.25,F8,0.25720609688616125,0.1898489425981873
25,0.25,A,0.30487122138364264,0.10398136564681089
25,0.25,T,0.26689929634329224,0.14084268712279313
25,0.5,F1,0.4437289708782921,0.1384022424667134
25,0.5,F2,0.32060414546623106,0.011444425177735362
25,0.5,F3,0.31798605414273995,0.03384381998121799
25,0.5,F4,0.30778464677990514,0.0323028026581913
25,0.5,F5,0.314348243834739,0.017713719881175094
25,0.5,F6,0.21844685110095985,0.3743762555893979
25,0.5,F7,0.28094157386393626,0.10049967412557026
25,0.5,F8,0.2611801398460687,0.2874924471299094
25,0.5,A,0.308127578239109,0.12450942337623884
25,0.5,T,0.2617083862037144,0.14865474646060128
25,0.75,F1,0.4428588003248637,0.13846594890743458
25,0.75,F2,0.33624337207433985,0.015909485000866974
25,0.75,F3,0.3255229696472518,0.035216354836379415
25,0.75,F4,0.31288638136966573,0.04380236925744008
25,0.75,F5,0.3178712501334472,0.028716030366376932
25,0.75,F6,0.21993532823487139,0.3762555893979651
25,0.75,F7,0.2869055787195862,0.11005865739734955
25,0.75,F8,0.2593691835605413,0.2787915407854985
25,0.75,A,0.3126991080080709,0.1284019969936639
25,0.75,T,0.2724939439381705,0.17124485306559878
50,0.005,F1,0.5377073906485671,0.6367777282283239
50,0.005,F2,0.3746987306518129,0.6384168545170799
50,0.005,F3,0.5266099261689909,0.030376363505020598
50,0.005,F4,0.3629434007562571,0.32689973995954924
50,0.005,F5,0.4537738870502829,0.02084937836945755
50,0.005,F6,0.42945131653236157,0.3800142570150995
50,0.005,F7,0.42903889797857175,0.37393004562242016
50,0.005,F8,0.30957291614266313,0.6062235649546828
50,0.005,A,0.4279745582411884,0.3766859915214542
